cnp;produto;gh_ou_hmr3;laboratorio;desconto;pva;pvp;iva_valor
5138250;BUPRENORFINA AZEVEDOS 2MG 7 CPR;GH0692 - Buprenorfina | A109 | Sublingual | 2 mg | [1-7];AZEVEDOS;0,05;2,21;3,46;0,06
5138276;BUPRENORFINA AZEVEDOS 8MG 7 CPR;GH0693 - Buprenorfina | A109 | Sublingual | 8 mg | [1-7];AZEVEDOS;0,05;7,46;11,15;0,06
5318134;CANDESARTAN + HCTZ AZEVEDOS 16MG+12,5MG 56 CPR  ;GH0876 - Candesartan + Hidroclorotiazida | A101 | Oral | 16 mg + 12.5 mg | [21-60];AZEVEDOS;0,6;4,31;6,86;0,06
5341813;CANDESARTAN AZEVEDOS 16MG 56 CPR  ;GH0870 - Candesartan | A101 | Oral | 16 mg | [21-60];AZEVEDOS;0,6;4,76;6,38;0,06
5341847;CANDESARTAN AZEVEDOS 32MG 56 CPR  ;GH0871 - Candesartan | A101 | Oral | 32 mg | [21-60];AZEVEDOS;0,45;6,32;9,16;0,06
5341755;CANDESARTAN AZEVEDOS 8MG 28 CPR  ;GH0874 - Candesartan | A101 | Oral | 8 mg | [21-60];AZEVEDOS;0,6;2,12;3,36;0,06
5723986;CARVEDILOL AZEVEDOS 25MG 60 CPR;GH0260 - Carvedilol | A101 | Oral | 25 mg | [21-60];AZEVEDOS;0,6;6,51;9,36;0,06
5723481;CARVEDILOL AZEVEDOS 6,25MG 60 CPR;GH0258 - Carvedilol | A101 | Oral | 6.25 mg | [21-60];AZEVEDOS;0,6166999999999999;4,33;5,89;0,06
7355875;CEREGUMIL 20 AMPOLAS;H05.3.1. - Tónico Adulto;AZEVEDOS;0,1667;9,15;15,2;
7361436;CEREGUMIL INFANTIL 250ML;H05.3.2. - Tónico Junior;AZEVEDOS;0,1667;13,17;21,9;
6341958;CEREGUMIL INFANTIL EQUINACEA+PROPOLIS SO 250ML;H03.1.2. - Imunoestimulante para a Constipação;AZEVEDOS;0,1667;14,24;21,9;
7511816;CEREGUMIL XAROPE 200ML;H05.3.1. - Tónico Adulto;AZEVEDOS;0,1667;9,15;15,2;
5037288;CIPROFLOXACINA AZEVEDOS 500MG 16 CPR;GH0052 - Ciprofloxacina | A101 | Oral | 500 mg | [9-16];AZEVEDOS;0,45;7,22;10,87;0,06
5063854;CITALOPRAM AZEVEDOS 20MG 56 COMP 56 COMP;GH0477 - Citalopram | A101 | Oral | 20 mg | [21-60];AZEVEDOS;0,45;5,48;8,2;0,06
5538491;CLARITROMICINA AZEVEDOS 500MG 16 CPR;GH0172 - Claritromicina | A101 | Oral | 500 mg | [6-16];AZEVEDOS;0,2857;7,03;9,96;0,06
5269758;CLOPIDOGREL AZEVEDOS 75MG 28 CPR;GH0736 - Clopidogrel | A101 | Oral | 75 mg | [21-60];AZEVEDOS;0,2;40,42;53,51;0,06
5043450;DEFLAZACORTE AZEVEDOS 30MG 20 COMP;GH0636 - Deflazacorte | A101 | Oral | 30 mg | [1-20];AZEVEDOS;0,45;9,87;13,89;0,06
5043435;DEFLAZACORTE AZEVEDOS 6MG 20 COMP;GH0637 - Deflazacorte | A101 | Oral | 6 mg | [1-20];AZEVEDOS;0,2;2,85;4,19;0,06
5043443;DEFLAZACORTE AZEVEDOS 6MG 60 COMP;GH0638 - Deflazacorte | A101 | Oral | 6 mg | [21-60];AZEVEDOS;0,2;7,1;10,74;0,06
5742440;DESCONTRAN 500MG+2MG 30 COMP;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,05;3,36;4,97;0,06
5742432;DESCONTRAN 500MG+2MG 60 COMP;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,05;5,32;8,34;0,06
5634340;DESLORATADINA AZEVEDOS SOLUÇÃO ORAL  150 ML;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,45;2,58;3,96;0,06
5663646;DEXTROMETORFANO AZEVEDOS 2MG 200ML;H01.1.2. - Antitússicos;AZEVEDOS;0,6;4,11;6,05;
5939293;DEXTROMETORFANO TUSSILENE SOL.ORAL 200 ML;H01.1.2. - Antitússicos;AZEVEDOS;0,5;6,26;8,4;
5042023;DICLOFENAC GEL AZEVEDOS 10MG BISNAGA 100 G;H10.1.1. - Anti-Inflamatórios e Anti-Reumáticos;AZEVEDOS;0,45;3,84;5,65;
5490966;D-MED 4 AMPOLAS 1 ML;H05.2.7. - Vitamina D;AZEVEDOS;0,1;7,14;10,5;
7395236;DOLCON 30 COMP;H10.2.1. - Prevenção e/ou alívio de dores articulares;AZEVEDOS;0,05;13,66;21,0;
6603001;DOLMIX (GLUCOSAMINA 750MG + CONDROITINA 600MG) 28 COMPRIMIDOS REVESTIDOS;H10.2.1. - Prevenção e/ou alívio de dores articulares;AZEVEDOS;0,05;13,01;20,0;
5586581;DOMPERIDONA AZEVEDOS 10MG 20 CPR;GH0354 - Domperidona | A101 | Oral | 10 mg | [1-20];AZEVEDOS;0,45;1,34;2,46;0,06
5649223;DULOXETINA AZEVEDOS 30MG 28 CAPS;GH1038 - Duloxetina | A103 | Oral | 30 mg | [21-60];AZEVEDOS;0,45;4,82;7,44;0,06
5649231;DULOXETINA AZEVEDOS 60MG 28 CAPS;GH1039 - Duloxetina | A103 | Oral | 60 mg | [21-60];AZEVEDOS;0,2857;5,82;8,58;0,06
5412879;ESCITALOPRAM AZEVEDOS 10MG 60 COMP;GH0853 - Escitalopram | A101 | Oral | 10 mg | [21-60];AZEVEDOS;0,2857;5,27;7,96;0,06
5412945;ESCITALOPRAM AZEVEDOS 20MG 60 COMP;GH0854 - Escitalopram | A101 | Oral | 20 mg | [21-60];AZEVEDOS;0,25;8,84;14,18;0,06
5713557;ETORICOXIB AZEVEDOS 30MG 20 CPR REV;GH1104 - Etoricoxib | A101 | Oral | 30 mg | [1-28] unidades;AZEVEDOS;0,25;2,25;3,51;0,06
5644828;ETORICOXIB AZEVEDOS 60MG 20 CPR REV;GH1105 - Etoricoxib | A101 | Oral | 60 mg | [1-28] unidades;AZEVEDOS;0,25;3,82;5,3;0,06
5644968;ETORICOXIB AZEVEDOS 90MG 20 CPR REV;GH1106 - Etoricoxib | A101 | Oral | 90 mg | [1-28] unidades;AZEVEDOS;0,5;4,81;7,43;0,06
5731971;EZETIMIBA AZEVEDOS 10MG 28 COMP;GH1125 - Ezetimiba | A101 | Oral | 10 mg | [21-60] unidades;AZEVEDOS;0,15;7,77;11,5;0,06
5039953;FINASTERIDA AZEVEDOS 5MG 56 COMP;GH0379 - Finasterida | A101 | Oral | 5 mg | [21-60];AZEVEDOS;0,45;7,19;10,84;0,06
5585849;FLUCLOXACILINA AZEVEDOS 500MG 24 CAPS;GH0444 - Flucloxacilina | A101 | Oral | 500 mg | [14-32];AZEVEDOS;0,45;3,85;5,33;0,06
5241302;FLUOXETINA AZEVEDOS 20MG 60 CAPS;GH0075 - Fluoxetina | A101 | Oral | 20 mg | [21-60];AZEVEDOS;0,6166999999999999;8,03;11,8;0,06
5086004;GALANTAMINA AZEVEDOS 8MG 56 COMP;GH0710 - Galantamina | A101 | Oral | 8 mg | [21-60];AZEVEDOS;0,6166999999999999;18,67;29,0;0,06
7349464;GINSACTIV 10ML 20 AMP.;H05.1.3. - Multivitaminas com Ginseng;AZEVEDOS;0,1667;13,34;20,5;
7343418;GINSACTIV 60 CAP.;H05.1.3. - Multivitaminas com Ginseng;AZEVEDOS;0,1667;14,41;22,15;
6273771;GINSACTIV GO 60 UNIDADES MORANGO;H13.7.3. - Suplementos para melhoria de performance;AZEVEDOS;0,3333;72,19;111,0;
7371872;GINSACTIV SPORT 20 AMPOLAS;H05.1.3. - Multivitaminas com Ginseng;AZEVEDOS;0,1667;12,88;21,4;
7393272;HERMES CEVITT 20 COMP EFERV;H03.1.2. - Imunoestimulante para a Constipação;AZEVEDOS;0,1667;4,38;6,9;
7346726;HERMES MULTIVIT 20 COMP. EFERV;H05.1.1. - Multivitaminas com Minerais;AZEVEDOS;0,1667;4,75;7,9;
5709589;IBUPROFENO AZEVEDOS 400MG MNSRM EF 20 CPR;H02.1.1. - Analgésicos e Antipiréticos;AZEVEDOS;0,45;3,38;4,8;
5820485;IBUPROFENO AZEVEDOS 600MG 20 CPR;GH0090 - Ibuprofeno | A101 | Oral | 600 mg | [1-20];AZEVEDOS;0,45;1,6;2,76;0,06
5481981;IBUPROFENO AZEVEDOS 600MG 60 CPR;GH0091 - Ibuprofeno | A101 | Oral | 600 mg | [21-60];AZEVEDOS;0,6;3,58;5,03;0,06
5014972;INDAPAMIDA AZEVEDOS 1,5MG 30COMP LP;GH0515 - Indapamida | A102 | Oral | 1.5 mg | [21-60];AZEVEDOS;0,15;3,37;4,78;0,06
5349865;IRBESARTAN + HCTZ  AZEVEDOS 150/12,5MG 28 CPR REV;GH0856 - Irbesartan + Hidroclorotiazida | A101 | Oral | 150 mg + 12.5 mg | [21-60];AZEVEDOS;0,15;1,53;2,68;0,06
5349915;IRBESARTAN + HCTZ AZEVEDOS 300/12,5MG 28 CPR REV;GH0858 - Irbesartan + Hidroclorotiazida | A101 | Oral | 300 mg + 12.5 mg | [21-60];AZEVEDOS;0,15;2,73;4,05;0,06
5291240;IRBESARTAN AZEVEDOS 150MG 28 CPR REV;GH0674 - Irbesartan | A101 | Oral | 150 mg | [21-60];AZEVEDOS;0,15;2,8;4,13;0,06
5291273;IRBESARTAN AZEVEDOS 300MG 28 CPR REV;GH0675 - Irbesartan | A101 | Oral | 300 mg | [21-60];AZEVEDOS;0,6166999999999999;4,45;7,02;0,06
5705561;IVABRADINA  AZEVEDOS 7,5MG 56 COMP;GH1119 - Ivabradina | A101 | Oral | 7.5 mg | [21-60] unidades;AZEVEDOS;0,6166999999999999;9,88;13,9;0,06
5705330;IVABRADINA AZEVEDOS 5 MG 56 COMP;GH1118 - Ivabradina | A101 | Oral | 5 mg | [21-60] unidades;AZEVEDOS;0,6166999999999999;9,53;13,5;0,06
5791421;KEPIN 100MG/2ML SOL INJETAVEL;GH1200 - Cetoprofeno | A800 | IM | 100 mg/2 ml | [1-6] unidades;AZEVEDOS;0,05;2,35;3,62;0,06
5421185;KEPLAT 20MG 7 EMPLASTRO;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,0;10,86;16,47;0,06
3475290;LANSOPRAZOL AZEVEDOS 30 MG 56 CAPS;Sem registo HMR;AZEVEDOS;0,45;6,89;10,5;0,06
5112610;LETROZOL AZEVEDOS 2,5MG 30 CPR;Sem registo HMR;AZEVEDOS;0,6166999999999999;34,14;46,43;0,06
4853883;LISOPAN 1G 10 COMP.;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,15;0,91;1,97;0,06
5523287;LOSARTAN + HCTZ AZEVEDOS 50MG + 12,5MG 56 CPR;GH0487 - Losartan + Hidroclorotiazida | A101 | Oral | 50 mg + 12.5 mg | [21-60];AZEVEDOS;0,6166999999999999;6,38;9,23;0,06
5531280;LOSARTAN AZEVEDOS 50MG  56 CPR;GH0517 - Losartan | A101 | Oral | 50 mg | [21-60];AZEVEDOS;0,45;5,57;8,3;0,06
5570841;LOVASTATINA AZEVEDOS 20MG 60 CPR;GH0210 - Lovastatina | A101 | Oral | 20 mg | [21-60];AZEVEDOS;0,2857;3,15;4,53;0,06
5714647;MENTOCAINA ANTI-INFLAM;H01.2.1. - Inflamação Garganta;AZEVEDOS;0,45;5,58;7,4;
5724760;MENTOCAINA MEL E LIMÃO 24 PASTILHAS;H01.2.1. - Inflamação Garganta;AZEVEDOS;0,45;5,28;7,0;
2138592;MENTOCAINA R 20 COMP.;H01.2.1. - Inflamação Garganta;AZEVEDOS;0,45;4,69;6,8;
5790829;MENTOCAINA SPRAY;H01.2.1. - Inflamação Garganta;AZEVEDOS;0,45;8,0;10,6;
5435409;METFORMINA AZEVEDOS 1G 60 CPR;GH0413 - Metformina | A101 | Oral | 1000 mg | [21-60];AZEVEDOS;0,2857;1,34;2,47;0,06
5434667;METFORMINA AZEVEDOS 500MG 60 CPR;GH0329 - Metformina | A101 | Oral | 500 mg | [21-60];AZEVEDOS;0,2857;0,89;1,95;0,06
5434741;METFORMINA AZEVEDOS 850MG 60 CPR;GH0214 - Metformina | A101 | Oral | 850 mg | [21-60];AZEVEDOS;0,6;1,5;2,65;0,06
5284385;MIRTAZAPINA AZEVEDOS 15MG 30 CPR REV;GH0415 - Mirtazapina | A101 | Oral | 15 mg | [21-60];AZEVEDOS;0,6166999999999999;3,09;4,46;0,06
5948484;MIRTAZAPINA AZEVEDOS 15MG ORODISPERS 30 CPR;GH0591 - Mirtazapina | A106 | Oral | 15 mg | [21-60];AZEVEDOS;0,6;3,88;5,37;0,06
5284484;MIRTAZAPINA AZEVEDOS 30MG 30 CPR REV;GH0417 - Mirtazapina | A101 | Oral | 30 mg | [21-60];AZEVEDOS;0,6166999999999999;5,66;8,4;0,06
5951983;MIRTAZAPINA AZEVEDOS 30MG ORODISPERS 30 CPR;GH0593 - Mirtazapina | A106 | Oral | 30 mg | [21-60];AZEVEDOS;0,45;5,82;8,58;0,06
5257803;MONTELUCASTE AZEVEDOS 10MG 28 CPR;GH0888 - Montelucaste | A101 | Oral | 10 mg | [21-60];AZEVEDOS;0,6;3,82;5,3;0,06
5257720;MONTELUCASTE AZEVEDOS 4MG 28 CPR;GH0890 - Montelucaste | A106 | Oral | 4 mg | [21-60];AZEVEDOS;0,6;3,84;5,32;0,06
5257753;MONTELUCASTE AZEVEDOS 5MG 28 CPR;GH0892 - Montelucaste | A106 | Oral | 5 mg | [21-60];AZEVEDOS;0,6166999999999999;3,82;5,3;0,06
9437509;NALBIX 100MG 6 CPR;H06.1.2. - Antifúngico;AZEVEDOS;0,55;3,4;5,0;
9437608;NALBIX CREME 20 G;H06.1.2. - Antifúngico;AZEVEDOS;0,55;3,12;4,6;
9479204;NALBIX SOLUCAO 30 ML;H09.1.6. - Antifúngico Pele;AZEVEDOS;0,6166999999999999;3,36;4,95;
4567095;NIMED 100MG 14 SAQUETAS;GH0287 - Nimesulida | A112 | Oral | 100 mg | [1-20];AZEVEDOS;0,05;3,4;4,82;0,06
9599258;NIMED 100MG 20 COMPRIMIDOS;GH0382 - Nimesulida | A101 | Oral | 100 mg | [1-20];AZEVEDOS;0,05;3,4;4,82;0,06
5772918;NIMED GEL 30 MG/G 100G;H10.1.1. - Anti-Inflamatórios e Anti-Reumáticos;AZEVEDOS;0,05;9,43;12,5;
5104633;OLANZAPINA AZEVEDOS 10MG 28 CPR;GH0862 - Olanzapina | A106 | Oral | 10 mg | [21-60];AZEVEDOS;0,6166999999999999;10,86;16,47;0,06
5103551;OLANZAPINA AZEVEDOS 2,5MG 28 CPR;GH0860 - Olanzapina | A101 | Oral | 2.5 mg | [21-60];AZEVEDOS;0,6166999999999999;3,07;4,44;0,06
5104567;OLANZAPINA AZEVEDOS 5MG 28 CPR;GH0861 - Olanzapina | A106 | Oral | 5 mg | [21-60];AZEVEDOS;0,6166999999999999;5,77;8,53;0,06
5700059;OLMESARTAN+HCTZ AZEVEDOS 20MG+12,5MG 56 COMP;GH1091 - Olmesartan medoxomilo + Hidroclorotiazida | A101 | Oral | 20 mg + 12.5 mg | [21-60] unidade;AZEVEDOS;0,6166999999999999;6,76;10,35;0,06
5700075;OLMESARTAN+HCTZ AZEVEDOS 20MGG+25MG 56 COMP;GH1093 - Olmesartan medoxomilo + Hidroclorotiazida | A101 | Oral | 20 mg + 25 mg | [21-60] unidades;AZEVEDOS;0,6166999999999999;6,76;10,35;0,06
5700117;OLMESARTAN+HCTZ AZEVEDOS 40MG+12,5MG 56 COMP;GH1094 - Olmesartan medoxomilo + Hidroclorotiazida | A101 | Oral | 40 mg + 12.5 mg | [21-60] unidade;AZEVEDOS;0,6166999999999999;9,11;13,02;0,06
5700133;OLMESARTAN+HCTZ AZEVEDOS 40MGG+25MG 56 COMP;GH1095 - Olmesartan medoxomilo + Hidroclorotiazida | A101 | Oral | 40 mg + 25 mg | [21-60] unidades;AZEVEDOS;0,55;9,11;13,02;0,06
5083977;OMEPRAZOL AZEVEDOS 20MG 56 CAPS;GH0120 - Omeprazol | A103 | Oral | 20 mg | [21-60];AZEVEDOS;0,15;4,43;6,0;0,06
5481825;PANTOPRAZOL AZEVEDOS 20MG 56 COMP REV;GH0619 - Pantoprazol | A103 | Oral | 20 mg | [21-60];AZEVEDOS;0,15;1,81;3,01;0,06
5481858;PANTOPRAZOL AZEVEDOS 40MG 56 COMP REV;GH0621 - Pantoprazol | A103 | Oral | 40 mg | [21-60];AZEVEDOS;0,56;2,99;4,35;0,06
7355404;PANVITOL;H05.3.1. - Tónico Adulto;AZEVEDOS;0,1667;9,15;15,2;
6340935;PANVITOL FOCUS 30 SAQUETAS;H02.4.1. - Estimulante Cérebro e Memória;AZEVEDOS;0,1667;14,9;22,9;
7752725;PANVITOL STRONG;H05.3.1. - Tónico Adulto;AZEVEDOS;0,1667;10,67;17,5;
5271036;PARACETAMOL AZEVEDOS 1000MG 18 CPR;GH0700 - Paracetamol | A101 | Oral | 1000 mg | [1-20];AZEVEDOS;0,45;1,26;2,37;0,06
4489993;PARACETAMOL AZEVEDOS 500MG 20 CPR;H02.1.1. - Analgésicos e Antipiréticos;AZEVEDOS;0,6166999999999999;0,94;1,38;
5399035;PERINDOPRIL + INDAP  AZEVEDOS 4MG+1,25MG 30 CPR ;GH0703 - Perindopril + Indapamida | A101 | Oral | 4 mg + 1.25 mg 5 mg + 1.25 mg | [21-60];AZEVEDOS;0,6166999999999999;6,65;9,53;0,06
5399001;PERINDOPRIL + INDAP AZEVEDOS 2MG+0,625MG 30 CPR ;GH0702 - Perindopril + Indapamida | A101 | Oral | 2 mg + 0.625 mg 2.5 mg + 0.625 mg | [21-60];AZEVEDOS;0,45;5,92;8,7;0,06
5385133;PERINDOPRIL AZEVEDOS 4MG 30 CPR ;GH0686 - Perindopril | A101 | Oral | 4 mg 5 mg | [21-60];AZEVEDOS;0,45;4,16;5,69;0,06
5385174;PERINDOPRIL AZEVEDOS 8MG 30 CPR ;GH0704 - Perindopril | A101 | Oral | 8 mg 10 mg | [21-60];AZEVEDOS;0,6;5,52;8,24;0,06
5232368;PRAMIPEXOL AZEVEDOS 0,088MG 30 CPR;GH0926 - Pramipexol | A101 | Oral | 0.088 mg | [1-30];AZEVEDOS;0,6166999999999999;3,04;4,41;0,06
5232434;PRAMIPEXOL AZEVEDOS 0,18MG 30 CPR;GH0927 - Pramipexol | A101 | Oral | 0.18 mg | [1-30];AZEVEDOS;0,6166999999999999;3,62;5,07;0,06
5232608;PRAMIPEXOL AZEVEDOS 0,7MG 100 CPR;GH0929 - Pramipexol | A101 | Oral | 0.7 mg | [31-100];AZEVEDOS;0,6166999999999999;45,6;59,35;0,06
5232558;PRAMIPEXOL AZEVEDOS 0,7MG 30 CPR;GH0928 - Pramipexol | A101 | Oral | 0.7 mg | [1-30];AZEVEDOS;0,45;13,69;19,69;0,06
5669379;PREGABALINA AZEVEDOS  150MG 56 CAPS;GH1033 - Pregabalina | A101 | Oral | 150 mg | [21-60];AZEVEDOS;0,45;7,4799999999999995;11,16;0,06
5669361;PREGABALINA AZEVEDOS 100MG 84 CAPS;GH1032 - Pregabalina | A101 | Oral | 100 mg | [21-90];AZEVEDOS;0,45;15,04;21,2;0,06
5669429;PREGABALINA AZEVEDOS 200MG 84 CAPS;GH1034 - Pregabalina | A101 | Oral | 200 mg | [21-90];AZEVEDOS;0,45;25,19;36,34;0,06
5669437;PREGABALINA AZEVEDOS 225MG 56 CAPS;GH1035 - Pregabalina | A101 | Oral | 225 mg | [21-60];AZEVEDOS;0,45;17,740000000000002;27,94;0,06
5669312;PREGABALINA AZEVEDOS 25MG  56 CAPS;GH1028 - Pregabalina | A101 | Oral | 25 mg | [21-60];AZEVEDOS;0,45;1,82;3,0;0,06
5669445;PREGABALINA AZEVEDOS 300MG 56 CAPS;GH1036 - Pregabalina | A101 | Oral | 300 mg | [21-60];AZEVEDOS;0,45;17,03;23,46;0,06
5669338;PREGABALINA AZEVEDOS 50MG 56 CAPS;GH1029 - Pregabalina | A101 | Oral | 50 mg | [21-90];AZEVEDOS;0,45;4,37;5,92;0,06
5669353;PREGABALINA AZEVEDOS 75MG 56 CAPS;GH1031 - Pregabalina | A101 | Oral | 75 mg | [21-90];AZEVEDOS;0,45;5,01;7,64;0,06
5252051;RABEPRAZOL AZEVEDOS 10MG 56  CPR;GH0779 - Rabeprazol | A103 | Oral | 10 mg | [21-60];AZEVEDOS;0,45;6,34;9,18;0,06
5252226;RABEPRAZOL AZEVEDOS 20MG 56  CPR;GH0677 - Rabeprazol | A103 | Oral | 20 mg | [21-60];AZEVEDOS;0,5;11,81;17,55;0,06
9514612;REMOTIL 10MG 20 COMP.;GH0354 - Domperidona | A101 | Oral | 10 mg | [1-20];AZEVEDOS;0,4444;2,98;4,34;0,06
5639844;ROSUVASTATINA AZEVEDOS 10MG 56 COMP;GH1114 - Rosuvastatina | A101 | Oral | 10 mg | [21-60] unidades;AZEVEDOS;0,5;6,39;9,24;0,06
5639869;ROSUVASTATINA AZEVEDOS 20MG 28 COMP;GH1115 - Rosuvastatina | A101 | Oral | 20 mg | [21-60] unidades;AZEVEDOS;0,5;4,82;7,44;0,06
5639810;ROSUVASTATINA AZEVEDOS 5MG 56 COMP;GH1112 - Rosuvastatina | A101 | Oral | 5 mg | [21-60] unidades;AZEVEDOS;0,45;4,67;7,27;0,06
9857102;SEPTIL PÓ 10G;H09.1.4. - Desinfectante pele e anti-séptico;AZEVEDOS;0,2857;3,68;5,5;
5005806;SERTRALINA AZEVEDOS 100MG 56 CPR;GH0306 - Sertralina | A101 | Oral | 100 mg | [21-60];AZEVEDOS;0,45;4,19;5,72;0,06
5005764;SERTRALINA AZEVEDOS 50MG 56 CPR;GH0303 - Sertralina | A101 | Oral | 50 mg | [21-60];AZEVEDOS;0,55;2,42;3,7;0,06
5387261;SILDENAFIL AZEVEDOS 100MG 12 COMP;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,55;36,7;49,32;0,06
5387246;SILDENAFIL AZEVEDOS 100MG 4 CPR;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,55;15,32;21,53;0,06
5387220;SILDENAFIL AZEVEDOS 50MG 12 COMP;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,55;31,13;43,05;0,06
5387204;SILDENAFIL AZEVEDOS 50MG 4 CPR;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,6166999999999999;12,75;18,62;0,06
6583203;SINOMARIN 125ML ADULTO;H01.3.1. - Preparações nasais de água do mar;AZEVEDOS;0,3333;6,72;9,5;
6413351;SINOMARIN BEBE 18X5ML MONODOSES;H01.3.1. - Preparações nasais de água do mar;AZEVEDOS;0,3333;5,66;8,0;
